WGS84_latitude,WGS84_longitude,Database_number,temperature_in_c,rock_type,pH_gauss,redox_potential_in_mV_gauss,total_dissolved_solids_in_mmol/L_log_gauss,O2_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,NH4_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,Mn_in_mmol/L_log_gauss,F_in_umol/L_log_gauss,NO3_in_mmol/L_log_gauss,H2SiO3_in_umol/L_log_gauss,HS_in_mmol/L_gauss
48.008769,16.229269,5,34.8,Limestone,-0.24196303143312786,,-0.46662705291292594,,-0.673913793378944,0.3518858249283175,0.41706742210393327,-0.39935183381328154,0.9598431090855813,-0.2922747384734999,,-0.5613270940379926,,-0.4829921868361869,,,,,,
48.008769,16.229269,5,34.6,Limestone,-0.5525368703489748,,-0.4156898608150175,,-0.6119805997541283,0.3531771612757567,0.4412381293539822,-0.37664151248125666,1.0280658083542216,-0.4517734286850596,,-0.3814648056399884,,-0.40406812344543935,,,,,,
48.008769,16.229269,5,33.8,Limestone,-0.23035256480696298,,-0.5176493492428323,,-0.7346992309247842,0.3772275726819901,0.37561042271767436,-0.4157251936383529,0.9145547153937175,-0.3327275205401927,,,,-0.46100759979370143,,,,,,
48.008769,16.229269,5,32.1,Limestone,-0.33617787423419104,,-0.48107227265048785,,-0.6787444827788818,0.370901751289097,0.39412024142633406,-0.4077110376784643,0.956525245092871,-0.2967877639940949,,-0.5583922312531167,,-0.4491099351613864,,,,,,
47.772023,16.323575,5,37.3,Limestone,,,-0.36422917393528387,,-0.7496651567159236,0.7406277990492273,0.3436417686655104,-0.8735150946146939,0.6114379491380076,1.2932917292702455,-0.6768541480424048,-0.15746946013461435,,-0.19066578497945294,,,-0.3789773215364034,,,
47.967323,16.2128,5,22.1,Limestone,-0.006272884668573728,,-1.0440309133907801,,-1.644368536763838,0.13697323123488694,-0.015603103554936259,-1.149393649190586,0.25024001193111556,-0.16245784704668587,,-1.5712864975769105,,,,,,0.7291513430522927,,
47.8321,16.1647,5,16.3,Limestone,0.526416867571128,,-1.194443398539105,,-1.6205922981199683,-0.03325037440716725,-0.2258449740379394,-1.1070593519207448,-0.520892699885158,-0.27126555574086925,,-1.8114574488804083,,,,,-0.9694267073728421,0.8204987910058077,,
47.1149,13.1365,5,36.3,Basalt,,,-1.366358793318579,,-0.9210474537597974,-5.199337582605575,-1.044408794872596,-1.033646823237722,0.046435724770526994,-1.2924648930969886,,,,,,,1.0841951575592066,,,
47.1149,13.1365,5,42.4,Basalt,,,-1.2191207692665245,,-0.8552868016470969,-1.327981604121872,-1.044408794872596,-0.9515182841460368,0.25231085193165653,-1.280981397513278,,,,,,,1.2640663695358172,,,
47.1149,13.1365,5,38.1,Basalt,,,-1.35894283685721,,-0.9210474537597974,-5.199337582605575,-1.0230032560702351,-1.033646823237722,0.040156988733765504,-1.280981397513278,,,,,,,1.0841951575592066,,,
47.1149,13.1365,5,36.8,Basalt,,,-1.403498913010768,,-0.945616266743319,-1.327981604121872,-1.0230032560702351,-1.048747612726431,0.033879835403491765,-1.3159578561183756,,,,,,,1.0841951575592066,,,
47.1149,13.1365,5,38.1,Basalt,,,-1.3708295668877764,,-0.9261763243026125,-5.199337582605575,-1.0230032560702351,-1.033646823237722,0.05397264705241303,-1.3040979195841098,,,,,,,1.0841951575592066,,,
47.1149,13.1365,5,37.0,Basalt,,,-1.391886489675381,,-0.9397369482942677,-1.327981604121872,-1.0230032560702351,-1.048747612726431,0.033879835403491765,-1.2924648930969886,,,,,,,0.9051888168927782,,,
47.1149,13.1365,5,23.0,Basalt,,,-1.4866418007410147,,-0.9856104168672697,-1.327981604121872,-0.9534930016811655,-1.0932722699878596,-0.06779861544123571,-1.3040979195841098,,,,,,,0.9051888168927782,,,
47.1149,13.1365,5,45.0,Basalt,1.5799683530411253,,-1.3778192946486165,,-0.9630851782615367,-1.5712864975769105,-1.058390165613513,-1.0166984767073748,0.10536057100861604,-1.30623665926866,-0.7173819935158147,-1.0592415896521372,,,,,1.3219458408567006,,,
47.1149,13.1365,5,44.0,Basalt,0.7055299818373915,,-1.3681828917065197,,-0.9395419730761235,-1.4790043989044597,-1.0375192844627037,-1.0008679094946922,0.1385353361443864,-1.359641551706457,-0.7480358056551,-1.0640914200550036,,,,,0.9152737984065498,-0.6902184568860531,,
