location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Wiesbaden,Große Adlerquelle,50.08610744963889,8.241152632555096,115,Gneiss,Silurian ,64.9,,,,,,2687.0,48.4,353.7,4625.0,64.5,575.7,,,,,,,,,,,6.0
Wiesbaden,Große Adlerquelle,50.08610744963889,8.241152632555096,115,Gneiss,Silurian ,n.s.,,,,,,2661.0,50.0,353.7,4592.0,66.6,575.4,,96.5,,3.6,3.26,0.84,,,75.72,,6.0
Wiesbaden,Große Adlerquelle,50.08610744963889,8.241152632555096,60,Gneiss,Silurian ,65.1,13700.0,6.05,,,,2654.0,47.0,343.0,4580.0,67.8,567.0,3.3,88.7,15.5,5.6,2.8,0.43,0.56,,,,6.0
Wiesbaden,Große Adlerquelle,50.08610744963889,8.241152632555096,60,Gneiss,Silurian ,65.5,13200.0,5.91,,,1.9,2600.0,45.0,337.0,4530.0,66.1,558.0,3.6,93,13.7,6.01,2.79,0.6,0.63,,,,6.0
Wiesbaden,Große Adlerquelle,50.08610744963889,8.241152632555096,60,Gneiss,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Kleine Adlerquelle,50.08605350631699,8.241153484294843,12.06,Gneiss,Silurian ,65.5,12900.0,6.09,,,1.4,2500.0,45.0,331.0,4570.0,65.2,560.0,3.1,95,12.9,4.52,2.62,0.57,0.43,,96.46,,6.0
Wiesbaden,Kleine Adlerquelle,50.08605350631699,8.241153484294843,12.06,Gneiss,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,2689.0,55.5,364.0,4680.0,63.7,263.0,0.03,76.5,,5.64,3,0.18,,,59.92,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,2687.0,78.03,401.59,4661.0,63.13,435.58,3.78,95.66,10.46,5.76,4.47,0.38,,,62.714,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,65.7,,,,,,2692.0,49.84,346.2,4656.0,62.43,562.0,3.758,96.54,12.48,6.304,3.317,0.583,,1.824,85.67,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,65.3,,,,,,2645.0,48.75,336.3,4554.0,61.4,599.9,3.48,97.79,12.28,6.77,3.13,0.67,,0.55,74.9,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,64.3,,,,,,2673.0,48.2,350.9,4605.0,65,557.0,,97.23,,,3.361,0.5295,,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,67.3,13500.0,6.1,,,,2625.0,47.0,341.0,4530.0,68.9,567.0,3.3,88,15.3,5.4,2.9,0.38,0.59,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,66,,6.4,,,,2633.0,47.0,342.0,4540.0,65,580.0,,88,,,,,,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,66.1,14180.0,5.97,-80.0,,4.2,2520.0,44.7,344.0,4380.0,69,557.0,2.9,88,12.9,5.8,2.92,0.57,0.56,<0.5,79.8,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,66.3,13100.0,5.89,,,1.2,2600.0,45.0,337.0,4430.0,67.4,563.0,3.5,94,13.3,5.99,2.77,0.6,0.62,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Kochbrunnen,50.08754826085344,8.242862798834562,43,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Kölner-Hof-Quelle,50.08560611840103,8.242865446032237,0,Gneiss,Silurian ,55,,,,,,2679.0,50.92,346.2,4630.0,65.61,567.0,2.719,102.3,5.234,5.932,2.53,0.385,,Traces,81.85,,6.0
