location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Gneiss,Silurian ,11.5,17170.0,,,312.29373531694296,,123.01124034782603,4.986628265788933,14.284644942362393,145.5571227080395,0.12107016448053301,19.846992959316122,0.35979827089337174,3.37866352245494,,285.84100232841774,0.20234577849404603,0.013324110815828752,,,246.06324414287542,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Greenschist,Silurian ,11.5,17170.0,,,312.29373531694296,,123.01124034782603,4.986628265788933,14.284644942362393,145.5571227080395,0.12107016448053301,19.846992959316122,0.35979827089337174,3.37866352245494,,285.84100232841774,0.20234577849404603,0.013324110815828752,,,246.06324414287542,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Gneiss,Silurian ,11.4,,,,343.0174052503374,,130.27534117458944,6.266200370294179,18.331753081491094,162.03102961918194,0.2144493025192588,21.69894193074694,,4.0922495351460295,,,0.10744023636852001,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Greenschist,Silurian ,11.4,,,,343.0174052503374,,130.27534117458944,6.266200370294179,18.331753081491094,162.03102961918194,0.2144493025192588,21.69894193074694,,4.0922495351460295,,,0.10744023636852001,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Gneiss,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Greenschist,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Gneiss,Silurian ,11.96,15300.0,5.84,110.0,296.90775038195585,0.0031251953247077944,114.83368971649955,4.731536720839333,14.871001546983381,138.11001410437234,0.1873828856964397,19.273380446041088,0.25936599423631124,3.5807183432527756,110.70531842045193,221.75407473112318,0.069836153639538,0.015289963231278896,26.844931045373198,0.38706618347904764,229.16399948790166,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Greenschist,Silurian ,11.96,15300.0,5.84,110.0,296.90775038195585,0.0031251953247077944,114.83368971649955,4.731536720839333,14.871001546983381,138.11001410437234,0.1873828856964397,19.273380446041088,0.25936599423631124,3.5807183432527756,110.70531842045193,221.75407473112318,0.069836153639538,0.015289963231278896,26.844931045373198,0.38706618347904764,229.16399948790166,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Gneiss,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Greenschist,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,11,22490.0,,,445.3793821378563,,169.33619472209574,8.656655009257355,22.640850341833424,206.09308885754584,0.24318134499271288,31.663410732781788,0.4948126801152738,4.946506625607763,261.1275964391691,48.56414236611597,0.4084519652609902,0.010939604645236448,,,575.5985149148637,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,12,,,,374.3990868015863,,145.19502131578616,6.829870397037647,17.86516293228205,173.70944992947813,0.2706641682281907,25.812563097376458,,4.501474488660632,,,0.21488047273704003,,,,,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Louisenbrunnen,50.22824760586327,8.629149440222761,96.4,Schist,Silurian ,11.3,,,,139.33048309580363,,53.15407910362214,2.4204896111911127,6.701931234093518,56.24823695345557,0.20091609410784927,17.781987911526006,,1.602371458605617,,177.45869830358131,0.6926313904557256,0.01623648476464378,,,334.1441556778902,,6,
Bad Homburg (Höhe),Louisenbrunnen,50.22824760586327,8.629149440222761,96.4,Schist,Silurian ,11.9,,,,45.94663579968469,,16.703082140581753,1.0697387368854145,2.594939867258845,15.5148095909732,0.30189464917759734,8.915577349189075,,0.7928733474345432,,,0.05372011818426001,,,,,,6,
Bad Homburg (Höhe),Ludwigbrunnen,50.22900291900122,8.626382726128318,7.7,Schist,Silurian ,11.9,23300.0,,,232.4130014124689,,87.7346788477953,4.291298086813413,12.278556814212285,107.44710860366713,0.10320632937747241,16.683929671828086,0.24697406340057634,3.194512293373369,,97.40547732564585,0.09175396185871608,0.010648367250354944,,0.02744944351172246,205.47945205479454,,6,
Bad Homburg (Höhe),Ludwigbrunnen,50.22900291900122,8.626382726128318,7.7,Schist,Silurian ,12,,,,432.91056087203293,,166.68284052788874,7.405883563052869,22.206696940965116,206.62905500705216,0.2602540079117218,24.567004497122102,,4.9618525613645605,,,0.19697376667562003,,,,,,6,
Bad Homburg (Höhe),Seedammbrunnen,50.22419743998637,8.633370722063905,852.75,Gneiss,Silurian ,21.8,,,,103.71850551434504,,37.14695871889796,2.1065624357128163,7.043764658915116,39.54866008462623,0.13220903601915468,16.765874316581662,,0.9207561454078566,,,0.05372011818426001,,,,,,6,
