location,well_or_spring_name,utm_e,utm_n,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Toscana,CASPECI 002,43.21638889,10.91111111,561,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CASPECI 001,43.21555556,10.90833333,271,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CAPPELLINI ATTILIO,43.21583333,10.90111111,278,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CAPPELLINI ARTURO,43.21666667,10.90305556,219,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CAPPELLINI ALESSANDRO,43.21472222,10.90333333,308,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CALDANELLE,43.21444444,10.90555556,252,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CALAMAI,43.21472222,10.90666667,198,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BOCCI,43.21666667,10.90166667,164,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BIONDI,43.21722222,10.9075,296,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BIANCHI,43.2175,10.905,246,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BERTOLE 002,43.21527778,10.90194444,236,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BERTOLE 001,43.21527778,10.90222222,237,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BENI,43.21472222,10.905,208,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BENEDETTI,43.21555556,10.90972222,308,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BALDI,43.21277778,10.90861111,122,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SUGHERE 003,43.21472222,10.77333333,3909,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SUGHERE 001,43.215,10.77472222,2996,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SERRAZZANO 014,43.23083333,10.79333333,727,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SERRAZZANO 013,43.22416667,10.79444444,539,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SERRAZZANO 010,43.17333333,10.855,1334,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SERRA 002,43.21361111,10.79027778,1313,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SERRA 001,43.21972222,10.78638889,1335,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.GIOVANNI 002,43.1875,10.78111111,1134,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PADULE 002 SECONDO R,43.20166667,10.78944444,2573,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PADULE 002 B,43.20166667,10.78944444,3321,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PADULE 002 A,43.20166667,10.78944444,3660,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PADULE 002,43.20166667,10.78944444,3703,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PADULE 001,43.20166667,10.78944444,1619,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MONTEVERDI 007,43.21,10.73444444,3712,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MONTEVERDI 005 B,43.19583333,10.74666667,3883,,,,,,,,,,,,,,,,,,,,,,,,
