X,Y,OBJECTID,NAME,WATER_TEMP,DISCHARGE,GT_SILICA,GT_ALKALI,PH,CONDUCTIVITY,HARDNESS,CA_MG_L,MG_MG_L,NA_MG_L,K_MG_L,HCO3_MG_L,SO4_MG_L,CO3_MG_L,SIO2_MG_L,CL_MG_L,F_MG_L,E_ISO_18O,E_ISO_2H,RAD_ISO_3H,RAD_ISO_14C,GAS_NOBLE,GAS_DISS,GAS_EMITTED,REFERENCE,REF_LINK,COMMENTS,LOC_SOURCE,LATITUDE_DD,LONGITUDE_DD
344595.827099999,712453.202,21,Takhini HS,47,6.6,96,,6.6,2905,,611,79.2,35.1,8.8,112,1670,,89.1,1,3.2,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Digitized using Google Earth from known location,60.8789,-135.36011
355686.8465,698883.671599999,22,Versluce WS,12.7,1,87,164,7.6,336,182,49.5,14.3,5.8,1.4,198,28,3,,1,0.4,-20.6,-167.1,11.3±1.1,,,,,"EBA Engineering Consultants Ltd.; Hydrogeochemistry and Isotope Signature of Stinky Lake and Versluce Warm Springs in Whitehorse; Yukon. Unpublished. October 30; 2009.","""EBA FILE""",,Publication location data,60.76146,-135.14582
356616.8402,697844.3813,23,Stinky Lake WS,18.5,1,54,160,7.6,347,190,51,15.1,6.9,1.7,208,30.1,3,,1,0.5,-21.3,-169.8,5.9±0.8,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd.; Hydrogeochemistry and Isotope Signature of Stinky Lake and Versluce Warm Springs in Whitehorse; Yukon. Unpublished. October 30; 2009.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010","""EBA FILE""",,Publication location data,60.75248,-135.128
352712.625800001,702080.192600001,24,SLC1 WS,15.8,,,,7.8,360,213,60.1,15.3,7.3,2.1,219,43.9,3,,1.2,0.4,-20.8,-166.8,9.8±1.0,,,,,"EBA Engineering Consultants Ltd.; Hydrogeochemistry and Isotope Signature of Stinky Lake and Versluce Warm Springs in Whitehorse; Yukon. Unpublished. October 30; 2009.","""EBA FILE""",,Publication location data,60.78902,-135.20278
352798.3903,702044.219799999,25,SLC2 WS,12,1,39,163,7.7,404,162,44.8,12,5.5,1.4,179,27,3,,0.8,0.3,-19.5,-161.6,7.9±0.9,,,,,"EBA Engineering Consultants Ltd.; Hydrogeochemistry and Isotope Signature of Stinky Lake and Versluce Warm Springs in Whitehorse; Yukon. Unpublished. October 30; 2009.","""EBA FILE""",,Publication location data,60.78873,-135.20118
357671.0452,697114.466600001,26,McIntyre Creek,,,33,,,,,36,7.7,2.9,1.2,136,9.4,,8.8,0.2,0.2,-19.5,-158.8,,,,"CO2 <2; H2S <10",,"EBA Engineering Consultants Ltd.; Groundwater Temperature; Geothermometer and Geothermal Signature Assessment City of Whitehorse; Yukon; July 2008",https://emrlibrary.gov.yk.ca/energy/groundwater_temperature_whitehorse.pdf,,Publication location data,60.74632,-135.10815
337863.477299999,957026.848999999,27,McArthur HS,54.5,30,157,120.7,7.2,268,4,1.4,0,40.9,1.1,43,14.9,21.3,,0.9,7.6,-21.9,-169.3,,,,,,"EBA Engineering Consultants Ltd. Ground-Based Geothermal Reconnaissance Program - Multiple Areas; Yukon. Feb 24; 2009","""EBA FILE""",,Publication location data,63.06761,-135.71165
262654.0077,1033086.8814,28,Partridge Creek WS,25.1,,116,122,8.8,441,17,6.2,0.2,75.9,2.3,100,63.2,3,,11.2,9.4,-21.5,-172.2,<0.8±0.3,,,,,"EBA; A Tetra Tech Company. Preliminary Geothermal Assessment; Partridge Creek Warm Spring; North of Stewart Crossing; Yukon. March 2011","""EBA FILE""",,Publication location data,63.70526,-137.31082
203287.1929,724263.876700001,29,Jarvis River WS,17.7,5,111,100.1,8.1,660,79,10.5,9.6,111,1.9,332,32.7,12.4,,26.6,0.3,-25.6,-198,<0.8,2.24±0.06,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd.; Gas Sampling; Jarvis River Warm Springs; Yukon. 2009; EBA...; Advanced Geochemistry; Jarvis River Warm Springs and Shakwak Valley Area; Southwest Yukon. 2010","""EBA FILE""",,Digitized using Google Earth from known location,60.90144,-137.96969
394186.8182,1120341.1089,30,Nash Creek HS,45.6,3,80,49.7,7.3,390,170,42.7,15.5,22.1,5.6,169,27,3,,42.6,0.5,-21.8,-173.6,3.7,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd.; Ground-based geothermal reconnaissance - Nash Creek Hot Springs; Wernecke Mountains; Central Yukon. 2010; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010; Woodsworth; Glen.; Woodsworth; David. 2014. Hot Springs of Western Canada; a complete guide. 3rd ed.; Gordon Soules Book Publishers; Vancouver; BC. 2014","""EBA FILE""",Other sources (Woodsworth 2013) say the highest temp here is 65,Publication location data,64.55104,-134.70978
380139.9867,1127375.6861,31,Nash Creek WS (N09S-10),10.2,,28,,8.2,207,106,22.5,12.1,0.7,0.2,125,8.2,3,7.7,0.6,0.1,-22.7,-172.7,,,,,,"EBA Engineering Consultants Ltd.; Ground-based geothermal reconnaissance - Nash Creek Hot Springs; Wernecke Mountains; Central Yukon. 2011","""EBA FILE""",,Publication location data,64.60932,-135.00865
887336.291099999,654610.749299999,32,Larsen North HS,53,40,92,220,7,554,284,81,19.8,5.6,4.2,230,96.2,3,,5.2,0.6,-23,-176,<0.8,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.19873,-125.51287
886736.119000001,654494.0239,33,Larsen South HS,43,30,94,217.5,6.8,538,282,82.9,18.3,5.6,4.1,230,98.3,3,,5.1,0.6,-22.8,-175.2,<0.8,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.19828,-125.52384
781419.9662,639331.676100001,34,Coal River WS,13.2,45,,169.5,6.6,531,285,86.3,17,1.3,0.7,340,19,3,,0.3,0.2,-22.6,-172.2,4.7,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.15235,-127.43579
760175.3039,806792.724300001,35,Flat Fruit,11,1.5,96,,7.06,,,470,49,24,5.98,897,36,0.03,43,1.7,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Publication location data,61.66667,-127.58333
595593.6853,324213.062100001,36,Mess Lake HS,42.5,3.2,120,,6.2,2400,,138,20.4,190,18,441,150,,71.5,209,1.7,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,57.40435,-130.91825
572811.9114,280795.9911,37,Sphaler Creek HS,48.5,0.2,118,,6.59,,,64.8,12.3,396,16.3,963,145,,69.9,63.4,3.89,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,57.01681,-131.30861
607236.6216,358937.8025,38,Tawah Creek HS,46,2,177,,6.72,3000,,167,141,515,54.6,2440,5.01,,191,52.7,0.023,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,57.71487,-130.70947
604896.1842,365213.064300001,39,Elwyn Creek HS,36,3.5,154,,6.01,2780,,126,104,659,49,2512,0.62,,134,51,0.25,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,57.77206,-130.74563
354071.283399999,716161.381100001,40,Vista Mountain WS,13.7,4,110,108,10.07,624,14,5.8,0,126,2.3,12,185,20,58.4,34.8,9.85,-22.42,-177.25,<0.8±0.3,,,,,"EBA, A Tetra Tech Company 2012. Preliminary Geothermal Assessment; Vista Mountain Warm Springs; Whitehorse; Yukon - W23101579.004","""EBA FILE""",slight H2S odour at one seep location,Publication location data,60.915894,-135.18883
