WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
47.41532,-103.669624,1.7896324,1.3884158,1.4332315,2.0147321,1.9044337,-0.067565575,-0.46375915,0.055733453,2.0896044,0.23619775,-0.057913866,-0.009427418
49.268024,-103.7717,1.7957939,2.1204855,0.37811688,0.7964371,1.640492,0.63972735,-0.106558554,-0.003606987,-0.0014170387,0.008897017,-0.13682222,-0.019266842
29.61943,-95.765045,-0.17160557,-0.09483717,-0.65208185,-0.47596473,-0.122443624,-1.6182554,0.2215118,-0.053692266,0.04796773,-0.0196535,0.0007188465,-0.032792363
42.01468,-97.24265,1.8412443,1.5045164,1.6354693,1.9622579,1.9501902,-0.27960646,-1.1582469,-0.036016084,0.07256445,-0.037626054,0.7845026,-0.013145198
40.528923,-100.99866,0.44059682,0.55270296,0.41350946,0.39208934,0.41740972,0.9698586,-0.3512637,-0.010437,0.011899087,-0.01404752,-0.06462039,-0.021979792
50.094112,-104.61505,1.1479006,1.4764986,0.093106754,0.3528087,1.0491989,1.4074973,-0.02175502,-0.004159904,0.23898874,-0.020488217,-0.18795492,-0.019516515
33.677837,-96.115845,0.5563338,0.6027399,0.72672874,0.65898883,0.5767681,0.15872313,-0.13749343,-0.028141301,0.0064432914,-0.022160104,0.087483294,-0.023215096
40.153103,-110.266716,-2.0802088,-2.0477414,-1.0583082,-1.1375078,-1.9143134,-0.47440702,-0.34261587,-0.57296145,-1.4716903,0.03179943,-0.65222174,0.106007695
41.64302,-108.69128,-1.2377652,-1.2296574,-0.7898486,-1.0371004,-1.2562114,0.10061449,0.47218838,-0.08553477,-0.98278755,-0.19619222,-0.05528605,0.20226899
41.214787,-111.05664,-2.186392,-2.1693218,-1.0821613,-1.3445524,-2.0834627,-0.67476064,-0.37188295,-0.05404176,-1.867845,-0.020012658,-0.085088775,-0.082031064
34.464954,-97.3471,0.17895325,0.20695542,0.27184385,0.2528034,0.19234346,0.16847184,-0.3537089,-0.038065623,-0.010278573,-0.011996072,0.014398122,-0.028983537
36.22109,-96.40668,0.96917576,0.953962,1.1990818,1.1934756,1.0269828,-0.10516542,-1.0488183,-0.024930734,0.03469062,-0.01931798,0.39436477,-0.019116243
31.677168,-96.56742,0.061874587,0.1394155,-0.05303183,0.033097573,0.09883925,-0.9338486,-0.15590878,0.023432977,0.07000432,0.02816359,0.05930195,-0.016723685
34.082146,-97.646645,0.18500124,0.22226554,0.21530396,0.2155883,0.21659534,0.024873672,-0.09362289,-0.018707504,0.013394515,-0.01910821,0.033227585,-0.02239395
42.424458,-102.67985,0.053700518,0.124345414,0.061152652,0.03159786,0.03358294,1.4408458,0.020472402,-0.001991642,0.118957,-0.046101302,-0.086344555,-0.02606381
48.431015,2.761832,-0.87803787,-0.9299305,-0.7911618,-0.8522395,-0.8041872,-0.5758245,0.681514,-0.044836268,-0.060716026,-0.019590102,-0.33109218,0.019081976
32.965294,-97.31957,-0.089873925,-0.06018311,-0.18157816,-0.15049537,-0.06596593,-0.31780973,-0.031391628,-0.03969514,0.015556666,-0.02022322,-0.026165497,-0.032441393
40.58327,-113.39153,-1.8995562,-1.861687,-1.2511177,-1.261954,-1.7516975,-0.64804465,-0.14679642,-0.008107681,-1.2132999,0.035854522,-2.3146813,-0.10071645
40.31313,-116.5722,-2.3565161,-2.3227315,-1.268982,-1.3549498,-2.2726126,-1.2577193,-0.5183858,-0.23323943,-2.035924,-0.2315287,-2.2167084,-1.1760471
41.931507,-108.34123,-1.2791386,-1.3147477,-0.42414925,-0.60697895,-1.2148728,0.35453883,0.117933065,-0.042807665,-0.2993366,0.0020659606,-0.30215314,-0.1465092
37.792877,-98.48707,0.9346928,0.9825652,0.9711106,0.90591437,0.9218374,0.2765481,-0.6120561,-0.017899241,-0.030602649,-0.012701923,-0.12062842,-0.020580357
41.725574,-109.61332,-0.97724724,-1.0506957,-0.30787957,-0.74546707,-1.0984797,0.8550912,0.74885184,-1.6264607,-0.527953,-0.37351787,0.072857276,-0.01695523
37.5644,-102.34331,-0.34336892,-0.31658974,-0.32945222,-0.32986525,-0.33684227,0.22785433,0.47590962,0.016716817,0.014559933,-0.018021783,0.029733486,-0.0223247
41.88558,-110.6932,-1.390597,-1.3865695,-1.2463986,-1.1964973,-1.3958397,0.10140481,0.35861728,-0.040790446,-0.8550769,0.027813993,-1.1864556,0.21107662
40.661972,-105.37972,-0.61586255,-0.60441256,-0.6554761,-0.7718333,-0.6846417,0.28414407,1.12957,-0.023226412,-0.049366303,-0.011509931,-0.05935555,-0.023948658
31.395918,-97.60108,-0.28076857,-0.23148079,-0.5637608,-0.47537917,-0.2399033,-0.9977086,0.47870606,-0.03301296,0.011894411,-0.01878601,0.056136623,-0.026833992
41.87529,-112.24025,-1.6896546,-1.735594,-0.6422697,-0.74773663,-1.595633,0.034557205,-0.12716056,-0.13229993,-0.9725695,-0.0031675098,-0.111738764,-0.74139184
38.8622,-66.09792,-0.2813679,-0.24356973,-0.516028,-0.31227604,-0.18096995,-0.8533244,0.07540601,0.01813199,0.25118282,-0.015574792,-0.0044018202,-0.02378564
37.986412,-95.092354,1.3105037,1.0830412,1.747667,1.7888525,1.4316953,-0.226152,-1.2882895,-0.028684355,0.60138625,0.4007771,-0.012440484,-0.0059202523
42.619953,-101.68625,0.90483415,1.0910959,0.5239089,0.5414811,0.8441078,1.0773518,-0.0251174,-0.004293046,0.15928446,-0.03497641,-0.11311102,-0.020341856
34.811054,-100.17857,-0.31970158,-0.2963339,-0.40747568,-0.37992865,-0.31036288,-0.22810975,0.384399,-0.0023735312,0.00859186,-0.022731487,-0.05238671,-0.022164546
