location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Yukon,Glacier Lake,62.00365,-127.02467,,,,,,6.4,,,,1.2,11.0,58.0,,169.0,30.4,,0.8,,,,,,,,,7
Yukon,Deca East,64.146,-128.432,,,,,,7.3,,,,2.8,60.0,155.0,1.8,827.0,78.7,,0.7,,,,,,,,,7
Yukon,Chena HS,65.0309834,-146.0524335,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Big Windy HS,65.184661,-144.692004,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Circle HS,65.489454,-144.622314,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Flat Charley HS,65.102092,-142.732627,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Charley River HS,64.488981,-143.081535,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Kianga HS,60.889151,-142.289668,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Lituya Bay HS,58.665373,-137.488566,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Mud-Neka HS,58.122279,-135.892103,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Tenakee Head HS,58.005582,-135.926934,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Lisianski HS,57.839992,-136.035412,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Peril HS,57.769868,-135.845988,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,White Sulphur HS,57.806075,-136.338884,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Tenakee HS,57.778095,-135.219618,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Goddard HS,56.846531,-135.379772,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Gut Bay HS,56.718592,-134.714728,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Baranoff HS,57.0896723,-134.8305897,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Chief Shakes HS,56.726836,-132.05231,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Mt. Rynda HS,56.6506976,-132.2534895,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Twin Lakes HS,56.7088271,-132.1978004,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Vank Island HS,56.4570945,-132.6023179,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Unuk River HS,56.1482276,-130.9767313,,,,,,,,,,,,,,,,,,,,,,,,,,7
